Ano,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,UF,Regiao
1998,0,0,0,0,0,3,35,131,512,44,0,7,732,Acre,Norte
1999,0,0,0,0,0,0,1,67,212,63,4,0,347,Acre,Norte
2000,0,0,11,1,1,1,1,136,261,18,0,0,430,Acre,Norte
2001,0,0,0,0,0,1,3,399,288,137,1,0,829,Acre,Norte
2002,0,1,0,0,0,0,59,1268,4337,932,139,3,6739,Acre,Norte
2003,14,0,0,5,18,18,427,3163,5803,1041,30,4,10523,Acre,Norte
2004,0,4,0,9,21,12,95,1003,5458,633,25,11,7271,Acre,Norte
2005,20,0,5,2,17,75,1136,7669,6092,943,27,7,15993,Acre,Norte
2006,7,1,0,2,58,34,186,1507,3737,600,66,0,6198,Acre,Norte
2007,1,14,5,8,15,76,181,1942,5446,823,38,0,8549,Acre,Norte
2008,0,0,1,1,23,18,165,1621,2947,856,63,4,5699,Acre,Norte
2009,0,2,0,2,10,1,59,366,2067,952,50,2,3511,Acre,Norte
2010,1,0,1,10,33,41,210,2752,5030,523,58,2,8661,Acre,Norte
2011,2,0,0,4,8,26,130,685,1912,264,152,8,3191,Acre,Norte
2012,1,0,0,3,15,12,132,1092,2796,627,39,3,4720,Acre,Norte
2013,0,0,0,46,11,19,98,1045,3331,318,108,4,4980,Acre,Norte
2014,0,0,1,7,1,23,91,1263,2528,406,70,8,4398,Acre,Norte
2015,3,2,1,3,2,42,118,1624,2949,912,115,8,5779,Acre,Norte
2016,13,2,0,1,23,101,588,2526,3863,515,46,6,7684,Acre,Norte
2017,0,4,0,1,9,39,362,1318,3100,1350,102,10,6295,Acre,Norte
2018,0,2,1,5,14,41,381,1368,4379,407,26,2,6626,Acre,Norte
2019,1,1,2,6,33,60,272,3051,2977,354,44,1,6802,Acre,Norte
2020,16,0,1,4,39,71,335,3578,3357,1652,129,11,9193,Acre,Norte
1998,0,0,0,0,0,0,0,1,14,20,19,32,86,Alagoas,Nordeste
1999,58,19,52,4,1,0,0,3,3,4,15,12,171,Alagoas,Nordeste
2000,11,16,32,20,1,0,0,4,22,13,2,2,123,Alagoas,Nordeste
2001,5,4,0,0,2,2,0,1,5,15,22,30,86,Alagoas,Nordeste
2002,12,15,27,6,1,0,7,5,23,35,58,102,291,Alagoas,Nordeste
2003,147,52,32,22,7,5,4,7,8,18,20,51,373,Alagoas,Nordeste
2004,13,15,34,10,3,1,3,2,11,23,38,80,233,Alagoas,Nordeste
2005,91,47,45,3,0,3,2,9,14,20,32,26,292,Alagoas,Nordeste
2006,36,32,46,7,2,0,3,5,13,39,25,60,268,Alagoas,Nordeste
2007,33,33,12,16,2,1,6,3,12,25,44,75,262,Alagoas,Nordeste
2008,52,83,47,26,8,1,0,3,14,32,73,70,409,Alagoas,Nordeste
2009,112,33,47,5,0,0,1,0,16,26,56,64,360,Alagoas,Nordeste
2010,32,39,87,5,0,2,1,4,17,14,46,52,299,Alagoas,Nordeste
2011,45,35,45,19,0,2,0,11,3,24,26,57,267,Alagoas,Nordeste
2012,43,52,58,18,23,5,1,0,6,31,85,55,377,Alagoas,Nordeste
2013,45,22,36,20,2,2,1,0,5,23,8,37,201,Alagoas,Nordeste
2014,49,26,19,15,1,2,1,3,11,3,9,26,165,Alagoas,Nordeste
2015,64,40,27,46,17,2,0,3,4,28,118,111,460,Alagoas,Nordeste
2016,22,14,10,14,4,5,5,4,15,63,79,153,388,Alagoas,Nordeste
2017,38,16,19,6,1,1,0,1,4,12,11,20,129,Alagoas,Nordeste
2018,17,16,13,2,0,6,0,12,7,52,41,35,201,Alagoas,Nordeste
2019,32,9,11,5,5,3,2,6,12,20,60,67,232,Alagoas,Nordeste
2020,45,21,12,5,1,0,3,5,4,25,10,28,159,Alagoas,Nordeste
1998,0,0,0,0,0,0,0,1,20,41,131,84,277,Amapá,Norte
1999,0,1,2,0,0,2,0,0,4,25,26,41,101,Amapá,Norte
2000,2,0,0,0,0,0,0,3,19,42,157,30,253,Amapá,Norte
2001,0,0,0,0,0,0,1,12,95,193,406,593,1300,Amapá,Norte
2002,7,2,0,0,3,0,2,21,152,710,1473,294,2664,Amapá,Norte
2003,35,0,5,3,1,3,1,21,135,526,1117,669,2516,Amapá,Norte
2004,58,1,0,1,1,7,4,18,117,534,1406,1266,3413,Amapá,Norte
2005,194,1,0,0,1,3,1,15,139,509,1054,103,2020,Amapá,Norte
2006,10,1,0,4,0,0,0,27,159,565,637,262,1665,Amapá,Norte
2007,12,1,2,0,0,0,19,10,146,485,753,56,1484,Amapá,Norte
2008,4,1,2,2,0,2,4,14,133,651,1182,158,2153,Amapá,Norte
2009,8,0,0,2,2,1,4,23,214,951,1115,136,2456,Amapá,Norte
2010,4,0,3,0,2,0,3,2,72,358,490,66,1000,Amapá,Norte
2011,0,3,0,0,2,1,4,12,140,381,407,446,1396,Amapá,Norte
2012,34,8,3,2,3,8,6,31,173,583,1157,510,2518,Amapá,Norte
2013,2,2,1,2,1,6,1,18,126,560,613,197,1529,Amapá,Norte
2014,25,2,2,1,0,2,5,19,161,592,653,386,1848,Amapá,Norte
2015,27,0,1,0,0,2,4,26,198,927,1424,327,2936,Amapá,Norte
2016,16,1,0,0,3,2,1,39,150,816,1104,463,2595,Amapá,Norte
2017,2,0,0,3,2,2,3,28,88,440,972,406,1946,Amapá,Norte
2018,14,1,0,1,1,3,4,38,123,571,450,0,1206,Amapá,Norte
2019,4,0,0,0,0,0,4,21,138,540,503,67,1277,Amapá,Norte
2020,2,1,1,0,0,3,2,16,84,527,76,38,750,Amapá,Norte
1998,0,0,0,0,0,2,72,320,263,82,6,196,941,Amazonas,Norte
1999,3,43,7,2,0,7,11,255,214,476,28,2,1048,Amazonas,Norte
2000,7,62,69,18,51,6,39,180,193,145,27,60,857,Amazonas,Norte
2001,3,8,6,1,0,5,9,499,168,332,244,22,1297,Amazonas,Norte
2002,17,2,5,2,8,5,338,1790,2916,1824,1221,267,8395,Amazonas,Norte
2003,379,129,94,42,24,36,655,3017,2594,1851,780,590,10191,Amazonas,Norte
2004,277,129,20,26,11,43,364,1850,2436,1564,988,375,8083,Amazonas,Norte
2005,225,16,15,8,36,130,1894,5981,4931,1499,833,76,15644,Amazonas,Norte
2006,79,31,30,28,20,156,574,3399,4254,2181,588,357,11697,Amazonas,Norte
2007,106,167,14,18,16,180,607,3990,3521,1663,833,178,11293,Amazonas,Norte
2008,45,48,25,35,12,42,457,2538,1716,1156,533,94,6701,Amazonas,Norte
2009,34,9,19,11,4,31,246,1799,3595,2409,983,140,9280,Amazonas,Norte
2010,93,76,64,9,37,113,788,5261,4021,1137,400,140,12139,Amazonas,Norte
2011,59,6,23,7,16,32,330,1543,1524,844,502,142,5028,Amazonas,Norte
2012,8,8,5,8,15,58,316,3616,2731,1484,749,116,9114,Amazonas,Norte
2013,43,4,23,26,21,81,359,1981,2204,1235,258,277,6512,Amazonas,Norte
2014,71,17,30,20,17,73,253,3604,3148,794,692,289,9008,Amazonas,Norte
2015,38,71,25,20,11,34,365,4235,5004,2233,909,474,13419,Amazonas,Norte
2016,654,252,105,13,26,84,1087,3652,2785,1913,497,105,11173,Amazonas,Norte
2017,62,21,24,15,33,95,1534,4793,3185,1190,486,247,11685,Amazonas,Norte
2018,46,93,54,14,19,123,1346,2589,4928,1725,472,37,11446,Amazonas,Norte
2019,35,90,114,10,21,57,1371,6668,3026,548,573,163,12676,Amazonas,Norte
2020,197,73,77,12,15,122,2119,8030,4270,1265,374,175,16729,Amazonas,Norte
1998,0,0,0,0,0,55,219,813,2719,1970,49,82,5907,Bahia,Nordeste
1999,114,157,83,55,76,62,107,453,1273,1308,49,37,3774,Bahia,Nordeste
2000,31,32,65,23,71,176,199,629,2284,3350,114,24,6998,Bahia,Nordeste
2001,25,101,4,26,84,98,245,978,3957,1687,699,158,8062,Bahia,Nordeste
2002,124,204,146,108,164,116,611,1812,7167,5415,1169,1012,18048,Bahia,Nordeste
2003,560,306,401,512,226,362,557,1078,9547,4515,655,865,19584,Bahia,Nordeste
2004,201,193,179,200,251,306,355,1512,7395,5701,2016,674,18983,Bahia,Nordeste
2005,414,227,234,180,168,240,424,1141,4244,9031,1801,343,18447,Bahia,Nordeste
2006,315,433,291,117,172,220,482,1318,3171,2395,810,494,10218,Bahia,Nordeste
2007,451,136,249,240,417,619,1375,4270,10076,7548,3308,779,29468,Bahia,Nordeste
2008,376,281,201,229,217,207,554,1032,4961,7949,4599,175,20781,Bahia,Nordeste
2009,227,175,329,56,48,117,340,450,3580,2742,525,367,8956,Bahia,Nordeste
2010,368,272,192,136,254,430,663,2635,5780,5375,694,264,17063,Bahia,Nordeste
2011,135,177,158,204,225,376,578,1524,6967,2306,197,289,13136,Bahia,Nordeste
2012,226,242,472,428,335,387,909,1810,6815,4529,214,529,16896,Bahia,Nordeste
2013,161,282,441,125,176,228,378,602,2617,1866,248,107,7231,Bahia,Nordeste
2014,123,84,128,157,201,235,235,606,2472,2515,308,126,7190,Bahia,Nordeste
2015,240,124,183,122,133,233,300,791,6921,4695,1569,1202,16513,Bahia,Nordeste
2016,240,340,237,193,240,388,340,727,1729,1312,402,163,6311,Bahia,Nordeste
2017,150,91,160,91,124,213,234,809,1146,3144,222,66,6450,Bahia,Nordeste
2018,102,45,126,71,101,190,281,477,1930,1345,169,119,4956,Bahia,Nordeste
2019,212,432,475,141,142,186,337,542,1896,1783,924,301,7371,Bahia,Nordeste
2020,164,153,92,98,95,244,341,437,1918,3666,447,257,7912,Bahia,Nordeste
1998,0,0,0,0,0,1,76,95,601,1019,575,277,2644,Ceará,Nordeste
1999,47,17,30,6,5,16,84,135,132,314,526,396,1708,Ceará,Nordeste
2000,1,7,10,16,7,16,20,81,130,876,671,389,2224,Ceará,Nordeste
2001,11,0,0,2,81,38,147,224,808,2051,2461,545,6368,Ceará,Nordeste
2002,33,76,17,6,10,13,23,136,241,1954,3259,2409,8177,Ceará,Nordeste
2003,323,10,6,4,7,9,41,133,420,2465,4760,3448,11626,Ceará,Nordeste
2004,213,11,3,1,7,8,22,69,207,1610,3615,4816,10582,Ceará,Nordeste
2005,476,41,7,7,2,7,33,71,187,1659,3434,2600,8524,Ceará,Nordeste
2006,298,31,8,4,0,3,18,80,265,932,2077,2451,6167,Ceará,Nordeste
2007,428,5,7,5,11,14,35,237,354,1457,2639,2335,7527,Ceará,Nordeste
2008,230,29,0,0,0,6,13,58,199,1014,2668,3414,7631,Ceará,Nordeste
2009,464,16,1,0,1,0,9,32,93,526,1978,2327,5447,Ceará,Nordeste
2010,355,76,46,11,6,21,58,206,383,676,2327,769,4934,Ceará,Nordeste
2011,39,9,3,1,4,7,24,42,226,478,2062,1903,4798,Ceará,Nordeste
2012,308,44,13,2,23,33,50,267,512,1102,1165,789,4308,Ceará,Nordeste
2013,135,55,24,7,9,12,8,36,177,472,986,910,2831,Ceará,Nordeste
2014,119,9,4,3,4,15,39,133,136,444,761,660,2327,Ceará,Nordeste
2015,189,20,14,0,17,17,23,118,183,603,1009,965,3158,Ceará,Nordeste
2016,103,12,6,11,7,32,106,286,335,1241,1373,804,4316,Ceará,Nordeste
2017,91,10,4,3,6,6,15,98,336,793,953,1171,3486,Ceará,Nordeste
2018,166,6,8,1,2,17,29,202,429,591,860,723,3034,Ceará,Nordeste
2019,194,12,3,1,3,9,18,138,460,1373,1324,769,4304,Ceará,Nordeste
2020,94,8,2,0,3,12,63,209,440,913,1279,956,3979,Ceará,Nordeste
1998,0,0,0,0,0,2,17,48,31,3,0,0,101,Distrito Federal,Centro Oeste
1999,0,2,0,0,0,3,4,15,12,8,1,0,45,Distrito Federal,Centro Oeste
2000,0,0,0,0,2,1,15,9,3,17,0,0,47,Distrito Federal,Centro Oeste
2001,0,1,0,0,0,3,22,25,13,0,0,1,65,Distrito Federal,Centro Oeste
2002,0,0,0,1,1,7,38,49,41,22,1,1,161,Distrito Federal,Centro Oeste
2003,0,1,0,0,1,32,50,43,22,12,0,0,161,Distrito Federal,Centro Oeste
2004,0,0,0,2,11,5,46,110,116,22,0,0,312,Distrito Federal,Centro Oeste
2005,0,0,0,0,4,4,38,46,25,18,5,0,140,Distrito Federal,Centro Oeste
2006,0,0,0,1,9,10,38,64,17,1,0,0,140,Distrito Federal,Centro Oeste
2007,1,0,1,3,16,59,87,197,99,22,0,0,485,Distrito Federal,Centro Oeste
2008,0,0,2,1,7,11,39,71,56,8,6,0,201,Distrito Federal,Centro Oeste
2009,1,0,0,0,15,6,32,37,4,4,0,0,99,Distrito Federal,Centro Oeste
2010,1,5,2,8,22,78,100,181,204,10,1,1,613,Distrito Federal,Centro Oeste
2011,0,2,0,1,5,18,54,55,135,0,0,0,270,Distrito Federal,Centro Oeste
2012,0,0,0,4,0,4,27,51,67,16,0,0,169,Distrito Federal,Centro Oeste
2013,0,1,1,0,2,5,25,33,33,3,0,2,105,Distrito Federal,Centro Oeste
2014,0,1,1,2,9,6,28,96,67,31,0,0,241,Distrito Federal,Centro Oeste
2015,1,0,0,0,2,1,15,53,64,17,2,0,155,Distrito Federal,Centro Oeste
2016,0,1,1,4,13,37,78,35,51,8,1,0,229,Distrito Federal,Centro Oeste
2017,1,0,0,1,6,5,28,118,77,51,0,0,287,Distrito Federal,Centro Oeste
2018,0,0,0,0,2,1,29,15,41,0,0,0,88,Distrito Federal,Centro Oeste
2019,4,1,0,0,0,6,30,29,116,27,0,0,213,Distrito Federal,Centro Oeste
2020,2,2,0,5,5,11,25,22,83,39,1,1,196,Distrito Federal,Centro Oeste
1998,0,0,0,0,0,6,37,38,110,20,4,5,220,Espírito Santo,Sudeste
1999,33,10,8,2,16,6,9,60,64,23,9,0,240,Espírito Santo,Sudeste
2000,5,5,1,3,2,9,16,26,14,88,3,3,175,Espírito Santo,Sudeste
2001,1,5,2,2,8,9,12,31,38,19,3,1,131,Espírito Santo,Sudeste
2002,2,4,4,2,5,18,16,76,76,151,26,22,402,Espírito Santo,Sudeste
2003,12,14,46,31,16,76,91,142,276,185,55,32,976,Espírito Santo,Sudeste
2004,0,8,2,10,4,2,14,31,77,53,56,10,267,Espírito Santo,Sudeste
2005,7,1,11,9,7,9,15,30,10,84,3,13,199,Espírito Santo,Sudeste
2006,13,53,26,6,16,35,57,90,103,18,4,10,431,Espírito Santo,Sudeste
2007,3,5,16,16,23,34,70,96,92,172,185,45,757,Espírito Santo,Sudeste
2008,20,23,7,6,9,25,36,57,95,116,9,9,412,Espírito Santo,Sudeste
2009,3,13,14,6,8,16,28,21,62,14,23,31,239,Espírito Santo,Sudeste
2010,55,27,5,13,11,25,6,39,65,34,3,12,295,Espírito Santo,Sudeste
2011,6,49,5,8,7,15,27,83,115,35,8,6,364,Espírito Santo,Sudeste
2012,0,27,38,76,25,21,45,17,39,66,7,23,384,Espírito Santo,Sudeste
2013,14,21,18,19,13,24,29,58,28,32,11,8,275,Espírito Santo,Sudeste
2014,11,16,15,8,15,8,11,36,52,82,17,25,296,Espírito Santo,Sudeste
2015,77,59,23,25,11,16,25,28,198,290,131,57,940,Espírito Santo,Sudeste
2016,37,19,103,49,42,45,38,75,112,60,7,12,599,Espírito Santo,Sudeste
2017,14,7,9,7,9,23,3,26,31,46,12,0,187,Espírito Santo,Sudeste
2018,6,1,9,7,4,12,41,9,51,36,11,18,205,Espírito Santo,Sudeste
2019,25,32,22,21,10,19,78,35,171,73,123,13,622,Espírito Santo,Sudeste
2020,10,11,6,8,11,51,34,25,131,82,10,22,401,Espírito Santo,Sudeste
1998,0,0,0,0,0,172,512,2216,2870,1036,48,13,6867,Goiás,Centro Oeste
1999,14,334,1,25,98,252,311,1198,1898,743,111,20,5005,Goiás,Centro Oeste
2000,10,11,4,16,58,222,332,925,1294,906,26,6,3810,Goiás,Centro Oeste
2001,28,9,10,49,85,209,370,788,1861,477,15,18,3919,Goiás,Centro Oeste
2002,12,9,48,78,171,303,792,1498,4412,1665,273,118,9379,Goiás,Centro Oeste
2003,13,55,34,127,265,855,867,975,1978,1318,212,175,6874,Goiás,Centro Oeste
2004,15,14,59,84,313,515,852,1618,3544,1548,356,94,9012,Goiás,Centro Oeste
2005,30,110,46,150,269,248,536,970,1565,2018,169,17,6128,Goiás,Centro Oeste
2006,104,28,42,61,192,298,502,948,1630,270,254,58,4387,Goiás,Centro Oeste
2007,48,20,104,83,349,690,925,2948,4978,2169,240,85,12639,Goiás,Centro Oeste
2008,33,25,23,64,200,209,552,987,1464,1425,195,63,5240,Goiás,Centro Oeste
2009,47,45,60,37,136,201,481,638,709,413,111,42,2920,Goiás,Centro Oeste
2010,60,100,96,144,280,723,1224,3336,5906,1418,79,53,13419,Goiás,Centro Oeste
2011,40,56,26,111,161,333,600,1549,2250,539,76,25,5766,Goiás,Centro Oeste
2012,22,29,71,116,123,254,556,899,2334,1450,64,113,6031,Goiás,Centro Oeste
2013,43,67,74,61,187,202,356,527,735,567,162,69,3050,Goiás,Centro Oeste
2014,60,34,54,117,197,302,424,1201,1568,1728,160,52,5897,Goiás,Centro Oeste
2015,105,43,48,58,117,263,320,876,2033,1607,490,147,6107,Goiás,Centro Oeste
2016,27,69,107,152,210,261,815,1038,1571,488,115,59,4912,Goiás,Centro Oeste
2017,46,64,91,58,138,308,433,1109,2155,1858,125,43,6428,Goiás,Centro Oeste
2018,54,41,113,74,181,183,405,518,1070,345,36,90,3110,Goiás,Centro Oeste
2019,129,88,138,83,134,217,403,698,4149,873,160,88,7160,Goiás,Centro Oeste
2020,60,92,124,156,150,314,402,964,1825,1622,229,70,6008,Goiás,Centro Oeste
1998,0,0,0,0,0,78,276,1177,3933,5140,2235,1396,14235,Maranhão,Nordeste
1999,54,6,17,4,3,32,258,897,1739,3207,1494,1001,8712,Maranhão,Nordeste
2000,19,11,6,6,28,94,233,839,1364,2654,2267,1462,8983,Maranhão,Nordeste
2001,29,1,0,2,21,101,549,2035,4550,6597,3521,1290,18696,Maranhão,Nordeste
2002,49,116,16,28,71,227,1675,3789,5543,7152,8421,3377,30464,Maranhão,Nordeste
2003,575,13,24,112,236,865,2675,2407,7799,8588,7536,3718,34548,Maranhão,Nordeste
2004,338,24,43,98,324,818,1677,2426,6807,5386,10348,5296,33585,Maranhão,Nordeste
2005,674,73,19,99,108,662,1984,3118,7805,8704,6670,3775,33691,Maranhão,Nordeste
2006,386,36,19,20,89,520,1416,2416,3782,4270,6879,3469,23302,Maranhão,Nordeste
2007,634,21,89,76,294,1477,2786,10780,11245,9694,5191,2478,44765,Maranhão,Nordeste
2008,203,59,6,40,101,687,1542,1777,3575,5018,5728,3386,22122,Maranhão,Nordeste
2009,400,30,39,27,25,312,1182,2181,3107,2839,6505,2485,19132,Maranhão,Nordeste
2010,457,104,129,143,300,1225,2601,6826,11813,4095,6082,2502,36277,Maranhão,Nordeste
2011,195,14,43,46,98,689,1159,2192,5086,3171,4038,2584,19315,Maranhão,Nordeste
2012,461,84,54,114,370,987,3693,10519,7376,5911,2644,2086,34299,Maranhão,Nordeste
2013,316,72,45,83,132,603,1332,2374,4312,3221,2368,2597,17455,Maranhão,Nordeste
2014,291,17,40,66,140,786,2027,5338,4357,5574,3710,2329,24675,Maranhão,Nordeste
2015,458,78,41,103,184,850,1616,5411,5502,6387,4159,3647,28436,Maranhão,Nordeste
2016,395,268,70,103,186,693,2182,3849,3109,5617,3826,1491,21789,Maranhão,Nordeste
2017,178,44,32,90,157,644,1973,3001,9243,4538,2706,2970,25576,Maranhão,Nordeste
2018,281,15,93,50,203,738,1457,2833,3177,1832,2309,904,13892,Maranhão,Nordeste
2019,712,74,57,63,139,749,1078,3366,3667,3645,3158,1813,18521,Maranhão,Nordeste
2020,86,72,39,93,231,757,1871,2162,4403,3394,2481,1228,16817,Maranhão,Nordeste
1998,0,0,0,0,0,2200,3711,15404,10360,2705,182,76,34638,Mato Grosso,Centro Oeste
1999,39,28,18,76,730,2201,3926,18563,11726,6111,842,47,44307,Mato Grosso,Centro Oeste
2000,44,35,60,59,1192,4358,1335,6059,6251,6063,502,98,26056,Mato Grosso,Centro Oeste
2001,44,54,24,309,1191,6641,1554,7755,8487,6544,373,37,33013,Mato Grosso,Centro Oeste
2002,172,22,103,641,2522,7879,6932,16911,18707,10863,3247,1127,69126,Mato Grosso,Centro Oeste
2003,883,566,541,930,2765,9038,12311,12841,19936,6660,2443,1646,70560,Mato Grosso,Centro Oeste
2004,261,397,822,946,4053,11530,13214,16025,34088,11405,2825,1446,97012,Mato Grosso,Centro Oeste
2005,440,951,423,1010,2259,2696,6543,18153,27674,9852,1539,564,72104,Mato Grosso,Centro Oeste
2006,1000,414,474,428,1013,2398,4561,9975,17382,2818,2711,305,43479,Mato Grosso,Centro Oeste
2007,470,280,679,809,1546,3552,4217,18331,37231,11291,1025,537,79968,Mato Grosso,Centro Oeste
2008,232,208,227,358,522,1147,2497,5259,9639,7778,984,597,29448,Mato Grosso,Centro Oeste
2009,615,203,379,255,601,1148,1730,2326,3692,3173,730,207,15059,Mato Grosso,Centro Oeste
2010,327,440,663,893,1382,2186,4037,17459,24140,5433,920,1133,59013,Mato Grosso,Centro Oeste
2011,206,147,301,467,640,1074,1066,2652,6634,2533,1198,453,17371,Mato Grosso,Centro Oeste
2012,179,200,419,560,958,1933,2120,6429,10620,3475,488,572,27953,Mato Grosso,Centro Oeste
2013,276,374,636,411,962,1388,1711,3739,5915,1828,906,408,18554,Mato Grosso,Centro Oeste
2014,244,134,481,658,803,1696,2112,6418,6569,4657,836,347,24955,Mato Grosso,Centro Oeste
2015,720,396,517,638,437,1328,1461,4498,8933,5730,1670,1413,27741,Mato Grosso,Centro Oeste
2016,300,763,934,1351,929,1306,3301,6168,8284,2715,855,399,27305,Mato Grosso,Centro Oeste
2017,457,295,698,708,844,1476,2100,4578,14840,3738,928,249,30911,Mato Grosso,Centro Oeste
2018,317,266,766,426,985,1623,1816,2650,6638,1711,363,471,18032,Mato Grosso,Centro Oeste
2019,576,709,1188,708,1118,2151,2326,8030,10747,1774,1176,666,31169,Mato Grosso,Centro Oeste
2020,768,806,1270,992,951,1960,2429,10430,20312,5259,1919,612,47708,Mato Grosso,Centro Oeste
1998,0,0,0,0,0,82,360,228,457,576,307,101,2111,Mato Grosso do Sul,Centro Oeste
1999,239,69,100,97,206,125,1297,4356,2971,2056,1195,306,13017,Mato Grosso do Sul,Centro Oeste
2000,326,81,23,90,127,157,160,530,509,657,274,139,3073,Mato Grosso do Sul,Centro Oeste
2001,97,90,39,108,112,250,590,2450,1384,563,220,143,6046,Mato Grosso do Sul,Centro Oeste
2002,305,98,115,230,88,520,1064,4183,2930,2586,1938,486,14543,Mato Grosso do Sul,Centro Oeste
2003,238,142,159,177,273,499,571,1002,1185,710,476,180,5612,Mato Grosso do Sul,Centro Oeste
2004,375,271,323,175,58,550,598,1605,3070,1104,312,175,8616,Mato Grosso do Sul,Centro Oeste
2005,71,301,261,251,483,557,1364,6141,2291,806,226,152,12904,Mato Grosso do Sul,Centro Oeste
2006,72,149,166,106,298,285,728,1570,1199,333,250,88,5244,Mato Grosso do Sul,Centro Oeste
2007,23,137,179,169,242,530,592,2279,5380,1268,245,95,11139,Mato Grosso do Sul,Centro Oeste
2008,59,108,128,116,152,163,358,823,1754,515,182,472,4830,Mato Grosso do Sul,Centro Oeste
2009,310,173,150,639,866,434,369,818,1165,895,409,85,6313,Mato Grosso do Sul,Centro Oeste
2010,80,167,178,162,132,408,701,1901,2197,746,335,349,7356,Mato Grosso do Sul,Centro Oeste
2011,148,66,47,31,106,117,270,567,1048,348,439,544,3731,Mato Grosso do Sul,Centro Oeste
2012,187,127,192,105,154,110,553,2782,2166,689,150,213,7428,Mato Grosso do Sul,Centro Oeste
2013,161,107,160,93,96,46,226,715,1088,393,368,162,3615,Mato Grosso do Sul,Centro Oeste
2014,156,119,72,113,68,81,190,296,343,529,175,72,2214,Mato Grosso do Sul,Centro Oeste
2015,176,106,119,54,54,289,355,1200,1263,451,228,322,4617,Mato Grosso do Sul,Centro Oeste
2016,108,119,101,141,98,132,673,1292,2292,1070,235,112,6373,Mato Grosso do Sul,Centro Oeste
2017,322,146,164,69,69,150,817,1159,2084,541,136,80,5737,Mato Grosso do Sul,Centro Oeste
2018,47,50,163,94,100,131,333,442,642,124,56,198,2380,Mato Grosso do Sul,Centro Oeste
2019,542,290,159,70,113,397,748,2430,3210,2310,1243,141,11653,Mato Grosso do Sul,Centro Oeste
2020,226,250,575,813,355,508,1305,2508,3097,1949,299,195,12080,Mato Grosso do Sul,Centro Oeste
1998,0,0,0,0,0,70,231,878,1977,1091,31,21,4299,Minas Gerais,Sudeste
1999,36,112,13,27,51,133,319,1193,2687,1361,271,32,6235,Minas Gerais,Sudeste
2000,24,20,24,49,67,135,345,770,1080,1954,43,14,4525,Minas Gerais,Sudeste
2001,18,39,13,60,83,165,265,858,1597,529,62,44,3733,Minas Gerais,Sudeste
2002,29,62,62,99,98,207,888,2142,3818,4660,486,280,12831,Minas Gerais,Sudeste
2003,47,181,123,265,369,1065,1465,2094,7489,5540,508,280,19426,Minas Gerais,Sudeste
2004,29,36,125,161,237,303,831,1865,5288,3062,1066,226,13229,Minas Gerais,Sudeste
2005,52,106,157,227,230,336,874,1520,2301,7145,548,206,13702,Minas Gerais,Sudeste
2006,168,135,103,153,379,444,1277,1948,3077,815,195,138,8832,Minas Gerais,Sudeste
2007,115,99,263,188,473,884,1429,3681,6800,5880,2306,396,22514,Minas Gerais,Sudeste
2008,99,84,113,172,285,283,767,1448,2765,4299,1436,137,11888,Minas Gerais,Sudeste
